"tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"ID708107905376112640","Trump","Mike","03/10/2016 20:50","null","Eastern Time (US & Canada)","96","RT @immigrant4trump: ?Trump = ACCOMPLISHED BUSINESSMAN
?Hillary= ACCOMPLISHED CRIMINAL
?https://t.co/CnYQ1FC8KF �� #Trump2016 #GopDebate htt��"
"ID708109121304850436","Trump","Misti","03/10/2016 20:55","Atlanta, GA (U.S.A.)","Eastern Time (US & Canada)","0","Let's Watch The #GOPDebate See What BS Trump Spews Tonight.... https://t.co/OdhZ9aar1t"
"ID708100297902714880","Trump","Marc Pen","03/10/2016 20:20","Richmond Virginia","null","0","Anderson come on stop. All CNN talks about is Trump #GOPDebate #andersoncoooper"
"ID708101066265665538","Trump","george","03/10/2016 20:23","null","null","136","RT @scottienhughes: You know it's going to be a great night when you U run into @AnnCoulter before #GOPDebate #Trump https://t.co/F36lSkkqXw"
"ID708020666520498176","Rubio","Lal","03/10/2016 15:04","miami, fl","null","17","RT @Crowdpac: Rubio: ""We should not leave without hearing a serious answer from each candidate about how they will control the national deb��"
"ID708065091573288960","Trump","Bryant Reed","03/10/2016 18:00","La Porte, TX USA ","Central Time (US & Canada)","196","RT @MIAMIforTRUMP: Don't forget! ?????The Media lies!????? #MakeAmericaGreatAgain #Trump2016 #TrumpRally #TrumpTrain #TRUMP #GOPDebate http��"
"ID708089945827618817","Trump","Inanimate Carbon God","03/10/2016 19:39","Temple of Dumb","Sydney","2","RT @news_fix: Trump Supporter Who Sucker-Punched Protestor Charged With Assault https://t.co/Vd2I7ybiGj #DemDebate #GOPDebate #auspol #CNND��"
"ID708108472378732544","Trump","Junco49x3","03/10/2016 20:53","Pacific NW","null","4","RT @NancyWonderful: 2 sides of same Gov't Coin #Hillary selling Gov't access frm Inside OUT #Trump buying frm outside IN https://t.co/TKxJt��"
"ID708105626724003840","Trump","Kathy Ceurter","03/10/2016 20:41","null","null","29","RT @voteTrumpyes: It's almost Time for the #GOPDebate!! Donald Trump will have a Great Night!! #VoteTrump https://t.co/twBuToDKkO"
"ID708104522581856257","Trump","Kimberly Powell","03/10/2016 20:37","null","null","5","RT @TheNewCC: One of THOUSANDS of VICTIMS SCAMMED by TRUMP. https://t.co/oDVQyXdv3G #FLprimary #Flapol #sayfie #GOPDebate https://t.co/XQeF��"
"ID708083648587673600","Trump","Robert Luzius","03/10/2016 19:14","Baltimore MD","null","267","RT @immigrant4trump: The American people are DONE with career politicians
""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt��"
"ID708042386081861632","Trump","girlzinger","03/10/2016 16:30","null","null","2","RT @ForQ2: @CNN @jaketapper @DanaBashCNN donald trump is the only GOP candidate to NOT release any tax returns! 
Will u push on this? #GOPD��"
"ID707953210648989697","Trump","CCLAM","03/10/2016 10:36","null","Central Time (US & Canada)","49","RT @9a1e6c8a99984e2: Not A Single One Of @realDonaldTrump 75 Statements Fact Checked Hey  #Trump Stop Lying Man ! #GOPDebate ? #DemDebate h��"
"ID708101930015272960","Trump","Tanner Piecuch","03/10/2016 20:27","Poulsbo, WA","Pacific Time (US & Canada)","37","RT @KyleKulinski: The comically ignorant Trump supporter who called the KKK a 'leftist terrorist organization' is still on CNN. #GOPDebate"
"ID708060893440045056","Rubio","Dee Moore","03/10/2016 17:44","Dallas, TX ","null","0","Rubio campaign: expect new strategy at #GOPDebate https://t.co/v6n0M7yXVt"
"ID708109395239018496","Kasich","Bloomberg Politics","03/10/2016 20:56","null","Eastern Time (US & Canada)","6","Here's a closer look at John Kasich's resume https://t.co/U9BjXk71zw #GOPDebate"
"ID708055570746572801","Cruz","elizabeth","03/10/2016 17:22","france","null","49","RT @peddoc63: Jeb Bush was a good governor. I hope he endorses Cruz. Everyone should support Cruz. He's a fighter & winner! #GOPDebate #Flo��"
"ID708099758498250753","Trump","Trump 2016!","03/10/2016 20:18","null","null","192","RT @immigrant4trump: The American people are DONE with career politicians
""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt��"
"ID708060384100556800","Trump","sweetie","03/10/2016 17:42","Atlanta","Eastern Time (US & Canada)","11","RT @Terrence_CFP: Tonight should be very interesting.  An African American got punched in the face while being escorted out of a #Trump ral��"
"ID708092551451033601","Trump","KCee","03/10/2016 19:49","New England","Eastern Time (US & Canada)","45","RT @rumpfshaker: Trump needs to be asked about this tonight at the #GOPDebate  https://t.co/MwdB3p1TXC"
"ID708025383027757056","Trump","Maryjo Stone","03/10/2016 15:23","San Diego Ca","Central Time (US & Canada)","313","RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h��"
"ID708093811306733568","Trump","m.ohammeddki88557474","03/10/2016 19:54","null","null","0","#news RT awzurcher: Who is going to take a metaphorical bat to Trump tonight at the #GOPDebate in Florida? https://t.co/ZPfMhEd2Ct"
"ID708108911170232321","Trump","Bob Ricciotti","03/10/2016 20:54","null","null","62","RT @WayneEdH: Best part of #GOPDebate was CNN's peer group who had 5 republicans say they would vote for #Hillary2016 if Trump is nominee!
��"
"ID708109461659983872","Trump","Tyler Woolbright","03/10/2016 20:57","null","Central Time (US & Canada)","251","RT @ShooterMcGavin_: How Donald Trump should walk onto the stage tonight #GOPDebate https://t.co/8hwCkOK8su"
"ID708100158597234689","Trump","Apteligent","03/10/2016 20:20","San Francisco, CA","Pacific Time (US & Canada)","0","Donald Trump's impact on #mobile news apps https://t.co/uFC0z1tI8c #GOPdebate https://t.co/6GKHvNXFfD"
"ID708075771319943168","Rubio","Cortney O'Brien","03/10/2016 18:43","null","Atlantic Time (Canada)","0","CNN is giving Rubio tips on what he needs to do in tonight's debate. ""Remind voters why they voted for you."" #GOPDebate #tcot"
"ID708087111304486913","Trump","Josh M","03/10/2016 19:28","Ohio, USA","null","22","RT @WayneDupreeShow: Caller 1 from SW Virginia - I am insulted by anti-Trump supporters

Call in ? 202 470 6738

https://t.co/cSgpDM32HO #T��"
"ID707972971529265152","Trump","OrgConservAmericans","03/10/2016 11:54","Washington, D.C. & TEXAS!","Central Time (US & Canada)","1","Yes, Trump will not take a salary as President! Such a good decent man! #GOPdebate #tcot https://t.co/HP1I8CuYMC https://t.co/rdMePOLOea"
"ID708102451723837440","Rubio","Beansiesdaddy","03/10/2016 20:29","null","null","0","#GOPDebate
Rubio Roboto getting polished up for tonight's debate https://t.co/CZ5i6aLc3o"
"ID707961912517066752","Trump","Michelle Matthews","03/10/2016 11:10","Toronto","Eastern Time (US & Canada)","0","#Trump supporters like him because he doesn't turn the other cheek? That is just so christian. #StopTrump #StopDrumpf #GOPDebate"
"ID708022822996561920","Cruz","bill","03/10/2016 15:12","America","Pacific Time (US & Canada)","0","Ted Cruz in Raleigh, NC Townhall with Megyn Kelly #choosecruz #christians #backtheblue #GOPDebate #GOPPrimary #2016  https://t.co/qXThoX9wVd"
"ID708096983525773312","Trump","DelilahPea","03/10/2016 20:07","null","null","294","RT @immigrant4trump: MSM always showing Trump Protesters,but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h��"
"ID707987987468914688","Trump","GiantNakedRei Puppet","03/10/2016 12:54","Smoke Filled Room","null","267","RT @immigrant4trump: The American people are DONE with career politicians
""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt��"
